grupo,fluorescencia
Controle,4.028343265458714
Controle,3.6203818352110693
Controle,4.3732827754100345
Controle,5.862393472382759
Controle,5.953125045376087
Controle,5.513085420097293
Controle,5.725095786847997
Controle,5.5161782871149585
Controle,4.3585184047770476
Controle,5.431922544673941
Controle,5.800409525227682
Controle,5.754291329813574
Controle,6.1889133714746425
Controle,5.708303847201064
Controle,5.351448207541583
Controle,6.070150238316428
Controle,4.97347874075094
Controle,4.118125348772282
Controle,4.836933036056236
Controle,4.255097355193551
Controle,4.324821725025618
Controle,4.8554813292844825
Controle,4.207580079000039
Controle,4.69203847036096
Controle,3.106385333046214
Controle,5.213293707372938
Controle,5.001205475362224
Controle,4.182911368931809
Controle,5.659245668432405
Controle,5.937570137626558
Controle,3.392440135631026
Controle,4.237275221433785
Controle,4.230857650212702
Controle,4.0600968988911355
Controle,5.829474841931749
Controle,4.8061738612271965
Controle,4.735485158689389
Controle,2.9961376355932465
Controle,5.635418030209227
Controle,3.7607416051465274
Controle,5.059932630266328
Controle,5.277376937958191
Controle,6.360658595838651
Controle,3.691179600880888
Controle,1.9804878441791747
Controle,5.183849544753695
Controle,6.800511181510854
Controle,6.238946352939437
Controle,5.209659415274626
Controle,4.508363814367953
Controle,5.80712259663731
Controle,4.026453800295531
Controle,5.476357769356219
Controle,5.505470159166627
Controle,6.06020990749888
Controle,7.759660038911077
Controle,5.392415967178767
Controle,4.491036374292501
Controle,4.974425687808005
Controle,3.2309240951108817
Controle,4.305286868910942
Controle,4.590717561886896
Controle,4.475911602065407
Controle,5.152354872033722
Controle,4.177580067617799
Controle,6.121030667324471
Controle,5.000207064918197
Controle,4.990699678861386
Controle,4.672105283487082
Controle,5.155190683858979
Controle,5.825098264667635
Controle,4.1328697842891
Controle,4.341883510924744
Controle,4.696273971223335
Controle,3.654129076526785
Controle,4.180742140278502
Controle,4.523779126455341
Controle,5.874389180712727
Controle,5.262561329001925
Controle,5.193589911367544
Controle,5.850897962167972
Controle,4.862628211600604
Controle,5.39046484992889
Controle,4.896778247067504
Controle,5.265362349399629
Controle,4.417241342388418
Controle,2.561182841723571
Controle,4.865720837813696
Controle,6.4227481360999406
Controle,5.926215402241592
Controle,5.965397484591171
Controle,6.236130721806218
Controle,5.0886575909614375
Controle,5.197315707405596
Controle,4.38234810456565
Controle,4.683927143972951
Controle,5.615771149771142
Controle,6.203884437168816
Controle,4.860553724319001
Controle,4.549810735148588
Tratamento1,7.000633550627917
Tratamento1,7.721448098714938
Tratamento1,5.26737422063975
Tratamento1,4.244582856235315
Tratamento1,6.3393557806100995
Tratamento1,5.535145088903009
Tratamento1,6.390231762823227
Tratamento1,6.8226636174190345
Tratamento1,6.456101909172384
Tratamento1,8.742961041364895
Tratamento1,7.392093717522784
Tratamento1,7.360569231532994
Tratamento1,7.746648572852083
Tratamento1,5.633400258663077
Tratamento1,8.246934144904323
Tratamento1,6.909082856157448
Tratamento1,7.8045767406894555
Tratamento1,5.713771320351814
Tratamento1,5.135489480780723
Tratamento1,7.981467589630034
Tratamento1,7.45169143131702
Tratamento1,5.917538134770988
Tratamento1,5.956404302470367
Tratamento1,8.350521741297722
Tratamento1,5.572705728559207
Tratamento1,8.971207543907155
Tratamento1,5.919255118422558
Tratamento1,7.7660703107300595
Tratamento1,6.605657829101219
Tratamento1,7.723824917298812
Tratamento1,6.347063197462969
Tratamento1,6.804648512713247
Tratamento1,7.049103010474865
Tratamento1,5.7973750530622326
Tratamento1,7.888989214504151
Tratamento1,6.384143720234098
Tratamento1,6.725680101591978
Tratamento1,5.806780750469786
Tratamento1,3.9251996094456274
Tratamento1,6.770766684879797
Tratamento1,9.895138505935499
Tratamento1,7.9415251454776286
Tratamento1,6.976887544318727
Tratamento1,6.684531004950079
Tratamento1,7.026959071374455
Tratamento1,7.656542938210252
Tratamento1,5.583024621629386
Tratamento1,8.337186033602647
Tratamento1,7.858457578529493
Tratamento1,7.8618228708495215
