,turma,alturas,notas,sexo
0,A,162.28777848866702,7.178634016363384,mulher
1,A,156.9023870003807,8.158120205115436,mulher
2,A,163.2600906654733,7.576300102815427,homem
3,A,160.85396773334892,8.075546158358442,mulher
4,A,176.21735555875546,5.761468079743253,mulher
5,A,183.58346958354386,9.016730916277046,homem
6,A,172.50085074103623,8.280198979862407,mulher
7,A,175.29499488475503,7.283026354020564,homem
8,A,173.58874966264648,10.0,homem
9,A,156.8916437393052,7.828761119092668,mulher
10,A,174.3991826458624,8.376532502386675,homem
11,A,151.7889460034233,9.538666150644708,mulher
12,A,163.2166274549127,7.680827302092554,mulher
13,A,158.42991975218052,8.06524190973343,mulher
14,A,177.75788650636312,7.996057147351485,homem
15,A,185.2816759340935,8.094336605569065,homem
16,A,183.5869725713015,5.990830954710086,homem
17,A,172.00199007636152,7.938105878673044,homem
18,A,161.35855869448716,7.743615705331365,mulher
19,A,184.02706234957765,9.018155996047614,homem
20,A,172.81414857332726,9.593634046455046,homem
21,A,175.34282631008065,8.22497011167843,homem
22,A,171.97639775311222,8.396784255915664,mulher
23,A,156.35844006056712,6.97597629659239,mulher
24,A,159.43115262512111,7.185842241971711,mulher
25,A,152.18319997419493,7.636969221298686,mulher
26,A,179.427009620363,8.346508304157481,homem
27,A,166.64340645372192,6.938952099645418,homem
28,A,164.59170115802368,6.310309060749027,homem
29,A,166.69235547027836,6.884243064380925,mulher
30,B,162.01911145514558,6.006422424808306,mulher
31,B,155.18426437648552,7.181618678759178,mulher
32,B,150.8149621583036,6.2691686139339815,mulher
33,B,170.1199467769989,4.819707779762476,homem
34,B,150.86866066245676,4.658734238696565,mulher
35,B,158.83661779464848,5.484540710093194,mulher
36,B,168.72820863167325,6.309241408270697,homem
37,B,170.24770632544332,6.315280472778025,homem
38,B,166.08570464388313,3.639632832939826,mulher
39,B,163.67038823040474,5.813576509467497,mulher
40,B,159.85942525699502,6.591659154378138,mulher
41,B,179.38050709506732,7.292385096859009,homem
42,B,155.85287174991038,7.717259380298919,mulher
43,B,163.59115078394652,5.936397474632663,homem
44,B,170.10731756358638,5.68522785065682,homem
45,B,173.22019241474416,5.2998752653538155,homem
46,B,161.8835660565439,4.839280435542146,homem
47,B,165.38136117571034,4.480789311129545,homem
48,B,187.41567186787776,6.590848483391949,homem
49,B,164.53027097303567,6.3033297412310985,mulher
50,B,155.10592760035576,5.518397554134801,mulher
51,B,178.18837681067365,4.634540554350319,homem
52,B,153.32613452660374,4.294686991572403,mulher
53,B,179.98005195951268,5.678442718400561,homem
54,B,162.93058401942787,6.6863250056002235,mulher
55,B,171.3333360892129,4.848096223045117,homem
56,B,188.8486648948042,5.516009478115371,homem
57,B,172.95205132324116,4.734041126494743,homem
58,B,182.70970719839687,5.1964529622795235,homem
59,B,182.58812960112417,5.521709980189737,homem
60,C,161.29724697476922,10.0,mulher
61,C,181.64513282090294,10.0,homem
62,C,164.23287634942602,5.452791218851087,mulher
63,C,175.40089416796445,2.582031002228449,homem
64,C,178.41711008050683,0.22005708326396434,homem
65,C,180.59838400393932,8.31324681470843,mulher
66,C,175.5914909080983,7.506922668192961,homem
67,C,166.88126617964397,1.4201980172269515,homem
68,C,163.64507577519726,5.858419851546786,mulher
69,C,163.06391013896865,5.709281215305434,mulher
70,C,170.33086773115343,2.9359899769766216,homem
71,C,159.82565631047,10.0,mulher
72,C,170.60756383820603,5.336701291444718,homem
73,C,156.3722127213327,2.8603388253751953,mulher
74,C,163.23588244237732,3.0939248763508673,homem
75,C,182.97978009498718,7.022295226986826,homem
76,C,164.81555843194857,9.909636144363011,mulher
77,C,160.54334159283212,1.951648971486657,homem
78,C,159.08312577886804,10.0,mulher
79,C,168.43593996618765,5.057431195744479,mulher
80,C,177.9102154720855,3.542066098998986,homem
81,C,164.77373160022333,7.566156200586512,homem
82,C,155.55034511507213,3.541273365700774,mulher
83,C,154.20388326359853,1.3052670188415298,mulher
84,C,156.910438500208,5.559891644653959,mulher
85,C,160.47255019376544,6.128086753532202,mulher
86,C,159.55324575709375,3.263913618132271,mulher
87,C,158.5581432148122,4.363258078039497,mulher
88,C,185.24282564533812,8.290490618437527,homem
89,C,166.4958270683871,7.714293108537237,homem
90,D,168.43204536947914,6.661865520281227,mulher
91,D,150.60973179625952,2.9002037032965187,mulher
92,D,172.11974822511812,4.1082223980072845,homem
93,D,156.04380052474428,3.638823501256188,mulher
94,D,165.82679236149082,2.0160716236998395,mulher
95,D,171.91555589736413,2.866745381821494,homem
96,D,156.45897337159144,2.9969830801764994,mulher
97,D,180.92708554467603,2.9960969944587656,homem
98,D,184.5976442313476,0.5455631875759133,homem
99,D,179.2053961659576,7.781828911889495,homem
100,D,172.25824336403014,0.32363591908491923,homem
101,D,179.67894568531102,0.6599941265673986,homem
102,D,192.80291079783478,10.0,homem
103,D,180.07061498335338,3.3587252966761203,homem
104,D,162.2777266886271,2.0135397536199866,mulher
105,D,151.71151098270184,0.49807773552679147,mulher
106,D,156.30104786478537,6.376536082320075,mulher
107,D,176.90920435940203,0.7674260029594552,homem
108,D,170.1422599057714,10.0,mulher
109,D,163.1757189800665,8.10952225233843,homem
110,D,164.7359549594857,4.604998960791734,homem
111,D,173.16662805938302,3.6493606594883894,homem
112,D,158.3634181483891,6.244914183153513,mulher
113,D,165.41250405513847,1.7320240362057309,homem
114,D,166.525124420522,3.2247713807608394,homem
115,D,152.67704108489318,2.647276038148182,mulher
116,D,175.16302449164667,4.638754698242562,homem
117,D,176.39870747087332,1.8487791667768685,homem
118,D,171.93135522607653,10.0,homem
119,D,174.3396777424016,3.8214719420317267,homem
